                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 0.0538,                0.21991,                 0.8688,                 0.9521,                0.95847,                0.97613,                0.97613,                0.08775,                0.22655,                0.28437,              0.0061588,              0.0061588,              0.0061588
                    100,                0.05308,                0.21788,                0.86883,                0.95575,                0.96656,                0.97713,                0.97713,                0.08288,                0.21035,                0.27829,              0.0061192,              0.0061192,              0.0061192
                    101,                0.05245,                0.22381,                0.86742,                0.96187,                0.94751,                 0.9763,                0.97617,                0.07902,                0.18489,                 0.2725,              0.0060796,              0.0060796,              0.0060796
                    102,                0.05282,                0.21848,                0.86899,                0.93957,                0.97708,                0.97747,                0.97742,                0.07887,                0.19183,                0.27286,                0.00604,                0.00604,                0.00604
                    103,                0.05386,                0.21727,                0.86705,                0.93346,                0.97408,                0.97471,                0.97471,                0.07812,                0.19479,                0.27148,              0.0060004,              0.0060004,              0.0060004
                    104,                 0.0528,                0.21136,                0.87013,                0.93378,                 0.9774,                0.97548,                0.97548,                0.07519,                0.18636,                 0.2675,              0.0059608,              0.0059608,              0.0059608
                    105,                0.05485,                0.22111,                0.87073,                0.96329,                0.94356,                0.97617,                0.97617,                0.07268,                0.19317,                 0.2652,              0.0059212,              0.0059212,              0.0059212
                    106,                 0.0539,                0.22126,                0.86985,                0.96586,                0.94999,                0.97673,                0.97673,                0.07383,                0.18502,                0.26639,              0.0058816,              0.0058816,              0.0058816
                    107,                0.05217,                0.21431,                0.87095,                0.95852,                0.94691,                0.97647,                0.97647,                0.07355,                 0.1728,                0.26601,               0.005842,               0.005842,               0.005842
                    108,                0.05135,                0.21406,                0.86925,                0.96077,                 0.9444,                0.97458,                0.97458,                0.07673,                0.18383,                0.26967,              0.0058024,              0.0058024,              0.0058024
                    109,                0.05227,                0.20995,                0.86749,                0.96987,                0.93228,                0.97367,                0.97367,                0.07552,                0.19147,                0.26872,              0.0057628,              0.0057628,              0.0057628
                    110,                0.05336,                0.20295,                0.87204,                0.94953,                0.93572,                 0.9725,                 0.9725,                0.07665,                0.21192,                0.27008,              0.0057232,              0.0057232,              0.0057232
                    111,                0.05044,                0.20786,                0.86883,                0.94575,                0.93773,                0.97224,                0.97224,                0.07611,                0.20306,                0.26872,              0.0056836,              0.0056836,              0.0056836
